"Part";"Value";"Device";"Package";"Description";"";
"C25";"1uF";"CAP0805";"0805";"";"";
"C26";"1uF";"CAP0805";"0805";"";"";
"C30";"27pF";"CAP0805";"0805";"";"";
"C31";"27pF";"CAP0805";"0805";"";"";
"C32";"100nF";"CAP0805";"0805";"";"";
"C33";"100nF";"CAP0805";"0805";"";"";
"C34";"100nF";"CAP0805";"0805";"";"";
"C35";"100nF";"CAP0805";"0805";"";"";
"C36";"100nF";"CAP0805";"0805";"";"";
"C37";"470pF";"CAP0805";"0805";"";"";
"C38";"4.7nF";"CAP0805";"0805";"";"";
"C39";"10uF";"CAP0805";"0805";"";"";
"C40";"3.3uF";"CAP0805";"0805";"";"";
"C41";"3.3uF";"CAP0805";"0805";"";"";
"C42";"100nF";"CAP0805";"0805";"";"";
"C43";"3.3nF";"CAP0805";"0805";"";"";
"C44";"3.3nF";"CAP0805";"0805";"";"";
"C45";"1uF";"CAP0805";"0805";"";"";
"C46";"1uF";"CAP0805";"0805";"";"";
"C47";"1uF";"CAP0805";"0805";"";"";
"C48";"100uF";"CAP1210";"1210";"";"";
"C49";"100uF";"CAP1210";"1210";"";"";
"C50";"1uF";"CAP0805";"0805";"";"";
"C51";"1uF";"CAP0805";"0805";"";"";
"C52";"1uF";"CAP0805";"0805";"";"";
"J3";"SJ1-3523N";"SJ1-3523N";"SJ1-352XN";"";"";
"P1";"I2C(SCL-SDA)";"PIN_2";"PIN_2";"";"";
"P2";"MP3_CTL(SCKR-SDI-DREQ-RST)";"PIN_4";"PIN_4";"";"";
"P3";"AMP_CTL(SHDN-CLK-UPDN)";"PIN_3";"PIN_3";"";"";
"P4";"PWR(GND-VIN-GND)";"PIN_3";"PIN_3";"";"";
"P9";"AOUT_L-GND-AOUT_R";"PIN_3";"PIN_3";"";"";
"R11";"1M";"RES0805";"0805";"";"";
"R12";"4.7R";"RES0805";"0805";"";"";
"R13";"4.7R";"RES0805";"0805";"";"";
"R14";"10k";"RES0805";"0805";"";"";
"R15";"1k";"RES0805";"0805";"";"";
"R16";"560R";"RES0805";"0805";"";"";
"R17";"560R";"RES0805";"0805";"";"";
"R18";"270k";"RES0805";"0805";"";"";
"R19";"270k";"RES0805";"0805";"";"";
"R22";"100k";"RES0805";"0805";"";"";
"U7";"3.3V";"LP3985SOT23-5";"SOT23-5";"";"";
"U9";"STA013LQFP44";"STA013LQFP44";"QFP44";"";"";
"U10";"CS4334";"CS4334";"SO8";"";"";
"U11";"LM4811PDSO-10";"LM4811PDSO-10";"PDSO-10";"";"";
"U12";"5.0V";"LP3985SOT23-5";"SOT23-5";"";"";
"X2";"14.7456MHz";"XTAL_GNDSMD_3225";"XTAL_3225";"";"";
