"Part";"Value";"Device";"Package";"Description";"";
"C1";"27pF";"CAP0805";"0805";"";"";
"C2";"27pF";"CAP0805";"0805";"";"";
"C3";"100nF";"CAP0805";"0805";"";"";
"C21";"10uF";"CAP0805";"0805";"";"";
"C22";"10uF";"CAP0805";"0805";"";"";
"C23";"100nF";"CAP0805";"0805";"";"";
"C24";"100nF";"CAP0805";"0805";"";"";
"C25";"1uF";"CAP0805";"0805";"";"";
"C26";"1uF";"CAP0805";"0805";"";"";
"D1";"ACT";"LED0805";"0805";"";"";
"D2";"RX";"LED0805";"0805";"";"";
"D3";"TX";"LED0805";"0805";"";"";
"D4";"PWR";"LED0805";"0805";"";"";
"ICSP(MOSI-MISO-SCK-RST-GND)";"PIN_5";"PIN_5";"PIN_5";"";"";
"J2";"USB-BAMPHENOL-MICRO";"USB-BAMPHENOL-MICRO";"AMPHENOL-USB-MICRO-B";"";"";
"PA[0-3]/ADC[0-3]";"PIN_4";"PIN_4";"PIN_4";"";"";
"PA[4-7]/ADC[4-7]";"PIN_4";"PIN_4";"PIN_4";"";"";
"PB[0-3]";"PIN_4";"PIN_4";"PIN_4";"";"";
"PC[4-7]";"PIN_4";"PIN_4";"PIN_4";"";"";
"PC[O-3](SCL-SDA-PC2-PC3)";"PIN_4";"PIN_4";"PIN_4";"";"";
"PD[4-7]";"PIN_4";"PIN_4";"PIN_4";"";"";
"R1";"10k";"RES0805";"0805";"";"";
"R2";"1k";"RES0805";"0805";"";"";
"R3";"1k";"RES0805";"0805";"";"";
"R9";"1k";"RES0805";"0805";"";"";
"R10";"1k";"RES0805";"0805";"";"";
"U1";"ATMEGA1284P-MU44-VQFN";"ATMEGA1284P-MU44-VQFN";"44-VQFN";"";"";
"U4";"FT232RQFN32";"FT232RQFN32";"32-VQFN";"";"";
"U5";"SN74LVC1G125SOT23-5";"SN74LVC1G125SOT23-5";"SOT23-5";"";"";
"U6";"SN74LVC1G125SOT23-5";"SN74LVC1G125SOT23-5";"SOT23-5";"";"";
"U7";"3.3V";"LP3985SOT23-5";"SOT23-5";"";"";
"VIN-GND";"PIN_2";"PIN_2";"PIN_2";"";"";
"VUSB-GND";"PIN_2";"PIN_2";"PIN_2";"";"";
"X1";"10MHz";"XTAL_GNDSMD_3225";"XTAL_3225";"";"";
