"Part";"Value";"Device";"Package";"Description";"";
"BATT(VCC-GND)";"PIN_2";"PIN_2";"PIN_2";"";"";
"BATT(VCC-GND)1";"VBAT-GND";"PIN_2";"PIN_2";"";"";
"C2";"10uF";"CAP0805";"0805";"";"";
"C17";"22uF";"CAP1206";"1206";"";"";
"C18";"100nF";"CAP0805";"0805";"";"";
"C19";"100nF";"CAP0805";"0805";"";"";
"C20";"10uF";"CAP0805";"0805";"";"";
"D1";"CHARGE";"LED0805";"0805";"";"";
"L1";"4.7uH";"INDSMD-3232";"IND-SMD-3232";"";"";
"P7";"5.5V-VUSB-GND";"PIN_3";"PIN_3";"";"";
"P8";"5.5V-BOOST_IN-GND";"PIN_3";"PIN_3";"";"";
"R2";"2M";"RES0805";"0805";"";"";
"R3";"200k";"RES0805";"0805";"";"";
"R4";"2M";"RES0805";"0805";"";"";
"R5";"200k";"RES0805";"0805";"";"";
"R6";"10k";"RES0805";"0805";"";"";
"R7";"10k";"RES0805";"0805";"";"";
"R8";"1k";"RES0805";"0805";"";"";
"U2";"TPS61200S-PVSON-N10";"TPS61200S-PVSON-N10";"S-PVSON-N10";"";"";
"U3";"MAX1811SO8";"MAX1811SO8";"SO8";"";"";
