"Part";"Value";"Device";"Package";"Description";"";
"BATT(VCC-GND)";"PIN_2";"PIN_2";"PIN_2";"";"";
"C1";"100nF";"CAP0805";"0805";"";"";
"C2";"10uF";"CAP0805";"0805";"";"";
"C5";"100nF";"CAP0805";"0805";"";"";
"C6";"10nF";"CAP0805";"0805";"";"";
"C7";"1uF";"CAP0805";"0805";"";"";
"C8";"4.7uF";"CAP0805";"0805";"";"";
"C9";"27pF";"CAP0805";"0805";"";"";
"C10";"27pF";"CAP0805";"0805";"";"";
"C11";"100nF";"CAP0805";"0805";"";"";
"C15";"4.7uF";"CAP0805";"0805";"";"";
"C16";"100nF";"CAP0805";"0805";"";"";
"C17";"22uF";"CAP1206";"1206";"";"";
"C18";"100nF";"CAP0805";"0805";"";"";
"C19";"100nF";"CAP0805";"0805";"";"";
"C20";"10uF";"CAP0805";"0805";"";"";
"C21";"10uF";"CAP_POLARIZEDSMD_RADIAL_43";"RADCAP_SMD_43";"";"";
"C22";"4.7uF";"CAP_POLARIZEDSMD_RADIAL_43";"RADCAP_SMD_43";"";"";
"C23";"100nF";"CAP0805";"0805";"";"";
"C24";"100nF";"CAP0805";"0805";"";"";
"C25";"1uF";"CAP0805";"0805";"";"";
"C26";"1uF";"CAP0805";"0805";"";"";
"C27";"100nF";"CAP0805";"0805";"";"";
"C28";"1uF";"CAP0805";"0805";"";"";
"C29";"1uF";"CAP0805";"0805";"";"";
"C30";"27pF";"CAP0805";"0805";"";"";
"C31";"27pF";"CAP0805";"0805";"";"";
"C32";"100nF";"CAP0805";"0805";"";"";
"C33";"100nF";"CAP0805";"0805";"";"";
"C34";"100nF";"CAP0805";"0805";"";"";
"C35";"100nF";"CAP0805";"0805";"";"";
"C36";"100nF";"CAP0805";"0805";"";"";
"C37";"470pF";"CAP0805";"0805";"";"";
"C38";"4.7nF";"CAP0805";"0805";"";"";
"C39";"10uF";"CAP_POLARIZEDSMD_RADIAL_43";"RADCAP_SMD_43";"";"";
"C40";"3.3uF";"CAP_POLARIZEDSMD_RADIAL_43";"RADCAP_SMD_43";"";"";
"C41";"3.3uF";"CAP_POLARIZEDSMD_RADIAL_43";"RADCAP_SMD_43";"";"";
"C42";"100nF";"CAP0805";"0805";"";"";
"C43";"3.3nF";"CAP0805";"0805";"";"";
"C44";"3.3nF";"CAP0805";"0805";"";"";
"C45";"1uF";"CAP0805";"0805";"";"";
"C46";"1uF";"CAP0805";"0805";"";"";
"C47";"1uF";"CAP_POLARIZEDSMD_RADIAL_43";"RADCAP_SMD_43";"";"";
"C48";"100uF";"CAP_POLARIZEDSMD_RADIAL_66";"RADCAP_SMD_66";"";"";
"C49";"100uF";"CAP_POLARIZEDSMD_RADIAL_66";"RADCAP_SMD_66";"";"";
"C50";"1uF";"CAP_POLARIZEDSMD_RADIAL_43";"RADCAP_SMD_43";"";"";
"C51";"1uF";"CAP_POLARIZEDSMD_RADIAL_43";"RADCAP_SMD_43";"";"";
"C52";"1uF";"CAP_POLARIZEDSMD_RADIAL_43";"RADCAP_SMD_43";"";"";
"D1";"CHARGE";"LED0805";"0805";"";"";
"D2";"TX";"LED0805";"0805";"";"";
"D3";"RX";"LED0805";"0805";"";"";
"D4";"MicroSD";"LED0805";"0805";"";"";
"D5";"Activity";"LED0805";"0805";"";"";
"J1";"DM3D-SFDM";"DM3D-SFDM";"DM3D-SF";"";"";
"J2";"USB-BAMPHENOL-MICRO";"USB-BAMPHENOL-MICRO";"AMPHENOL-USB-MICRO-B";"";"";
"J3";"SJ1-3523N";"SJ1-3523N";"SJ1-352XN";"";"";
"J4";"ADAFRUIT_OLED_13";"ADAFRUIT_OLED_13";"ADAFRUIT_OLED_13";"";"";
"L1";"4.7uH";"INDSMD-3232";"IND-SMD-3232";"";"";
"P1";"PB[2-3-4]";"PIN_3";"PIN_3";"";"";
"P2";"PB5-PB6/SCL-PB7/SDA";"PIN_3";"PIN_3";"";"";
"P3";"PB[8-9-10]";"PIN_3";"PIN_3";"";"";
"P4";"PF6-PF7-PA8";"PIN_3";"PIN_3";"";"";
"P5";"PA[11-12-15]";"PIN_3";"PIN_3";"";"";
"P6";"PA13/SWDIO-PA14/SWCLK-RST";"PIN_3";"PIN_3";"";"";
"P7";"5.5V-USBVCC-GND";"PIN_3";"PIN_3";"";"";
"P8";"5.5V-BATTVCC-GND";"PIN_3";"PIN_3";"";"";
"P9";"AOUT_L-GND-AOUT_R";"PIN_3";"PIN_3";"";"";
"R1";"10k";"RES0805";"0805";"";"";
"R2";"2M";"RES0805";"0805";"";"";
"R3";"200k";"RES0805";"0805";"";"";
"R4";"2M";"RES0805";"0805";"";"";
"R5";"200k";"RES0805";"0805";"";"";
"R6";"10k";"RES0805";"0805";"";"";
"R7";"10k";"RES0805";"0805";"";"";
"R8";"1k";"RES0805";"0805";"";"";
"R9";"1k";"RES0805";"0805";"";"";
"R10";"1k";"RES0805";"0805";"";"";
"R11";"1M";"RES0805";"0805";"";"";
"R12";"4.7R";"RES0805";"0805";"";"";
"R13";"4.7R";"RES0805";"0805";"";"";
"R14";"10k";"RES0805";"0805";"";"";
"R15";"1k";"RES0805";"0805";"";"";
"R16";"560R";"RES0805";"0805";"";"";
"R17";"560R";"RES0805";"0805";"";"";
"R18";"270k";"RES0805";"0805";"";"";
"R19";"270k";"RES0805";"0805";"";"";
"R20";"10k";"RES0805";"0805";"";"";
"R21";"10k";"RES0805";"0805";"";"";
"R22";"100k";"RES0805";"0805";"";"";
"R30";"1k";"RES0805";"0805";"";"";
"R31";"1k";"RES0805";"0805";"";"";
"S1";"SWITCH_SPSTGF-1123-0025";"SWITCH_SPSTGF-1123-0025";"GF-1123-0025";"";"";
"SW1";"VD";"TACTSWCK_PTS_830";"TACTSW_CK_PTS_830";"";"";
"SW2";"D";"TACTSWCK_PTS_830";"TACTSW_CK_PTS_830";"";"";
"SW3";"R";"TACTSWCK_PTS_830";"TACTSW_CK_PTS_830";"";"";
"SW4";"VU";"TACTSWCK_PTS_830";"TACTSW_CK_PTS_830";"";"";
"SW5";"C";"TACTSWCK_PTS_830";"TACTSW_CK_PTS_830";"";"";
"SW6";"U";"TACTSWCK_PTS_830";"TACTSW_CK_PTS_830";"";"";
"SW7";"L";"TACTSWCK_PTS_830";"TACTSW_CK_PTS_830";"";"";
"U1";"STM32F030X-LQFP48LQFP48";"STM32F030X-LQFP48LQFP48";"QFP48";"";"";
"U2";"TPS61200S-PVSON-N10";"TPS61200S-PVSON-N10";"S-PVSON-N10";"";"";
"U3";"MAX1811SO8";"MAX1811SO8";"SO8";"";"";
"U4";"FT232RQFN32";"FT232RQFN32";"32-VQFN";"";"";
"U5";"SN74LVC1G125SOT23-5";"SN74LVC1G125SOT23-5";"SOT23-5";"";"";
"U6";"SN74LVC1G125SOT23-5";"SN74LVC1G125SOT23-5";"SOT23-5";"";"";
"U7";"3.3V";"LP3985SOT23-5";"SOT23-5";"";"";
"U8";"3.3V";"LP3985SOT23-5";"SOT23-5";"";"";
"U9";"STA013LQFP44";"STA013LQFP44";"QFP44";"";"";
"U10";"CS4334";"CS4334";"SO8";"";"";
"U11";"LM4811PDSO-10";"LM4811PDSO-10";"PDSO-10";"";"";
"U12";"5.0V";"LP3985SOT23-5";"SOT23-5";"";"";
"U13";"MCP23008QFN";"MCP23008QFN";"20-VQFN";"";"";
"X1";"16MHz";"XTAL_GNDSMD_3225";"XTAL_3225";"";"";
"X2";"14.7456MHz";"XTAL_GNDSMD_3225";"XTAL_3225";"";"";
